contract_id,pregunta_id,pregunta,sum_pregunta_isAcusatoria,etiqueta
670793,867848,NO SE SUPONE QUE EN PORTAL DE COMPRAS PUBLICAS ESTA PROHIBIDO PUBLICAR MARCAS Y MODELOS DEEQUIPOS. QUE TIENEN QUE DECIR AL RESPECTO POR FAVOR CONTESTAR.,3,1
453951,792725,"buenas tardes por favor si me pueden confirmar los codos de 63 mm y 50 mm en 45º y 90ºson corto radio, o largo radio",0,0
939945,265329,El aceite térmico es paraq sistemas presurizados o a presión atmosférica?,0,0
1402949,967528,Se debe entregar precios unitarios de referencia?? saben la cantidad de cada insumo que se necesita?,0,0
1417326,561919,"Por favor indicar las cantidades a cotizar ya que existen algunas inconsistencia en los pliegosentre la hoja 7 y 8 de los Términos de Referencia, aclarar las cantidades a ofertar?",0,0
594727,898404,"Estimados sres. considerando que es un equipo de importación, ¿podrían ampliar el plazo deentrega a 60 días?.",0,0
1288315,1592981,"Estimados miembros de la comisión, solicitamos se acepte realizar el proceso de importacióndirectadel equipo, esto a razón a que el 6 de marzo del 2015 el Pleno del Comité de ComercioExteriorexpidió la resolución N 011-2015, mediante la cual estableció sobretasas arancelarias dehasta el45% adicional para una serie de productos, entre los que constan la maquinaria requeridapor laentidad; El bien sería nacionalizado a nombre de la entidad contratante con el objeto de que puedanejercer su derecho a la exoneración de los tributos al comercio exterior excepto de lastasasprevistas en el art. 27 de la ley orgánica de aduanas, el proveedor realizará todos lostrámitesrelacionados con la importación de los bienes que se incorporan de manera definitiva alobjeto decompra.",0,0
157352,52966,por favor los archivos tienen problema para descargarlos revisen gracias,0,0
1365503,1436141,"Estimados señores en el punto 4.1.4 experiencia general y especifica minima, se evidencia unacontradiccion entre la descripcion y numero de proyectos ya que piden en la descripcion 2certificados y en proyectos 1 proyecto por favor aclarar.",0,0
1431451,1499910,"Por favor indicar si en este proceso de compra de bienes, las garantías por el anticipo siguenvigentes por el plazo de1215 días o se pueden terminar luego de entregar los bienes y emitir otrasdistintas por cada servicio anual de mantenimiento ?",0,0
1655551,1544908,"Estimados, favor aclarar si se acepta la norma europea CE en lugar de ASME",0,0
1059138,187405,El servicio de rastreo satelital para los vehículos y maquinarias se lo debe considerar por 365dás?,0,0
1634972,656748,"Estimado señores con respecto al ITEM 14 DETERMINADOR DE FIBRA CRUDA, por favor delimitar el usodel equipo, o indicar que muestras van a usar para determinar las especificaciones del crisolnecesario, o en su defecto indicar las características del crisol necesario",0,0
281376,224754,"Solicitamos Atentamente a la comisión Técnica Permita ofertar una máquina con amplitud nominal de1.95 mm en alta, ya que no afecta en eficiencia al desempeño de la máquina.",0,0
1496329,793593,INDICAR CUANTOS MESES ES LA GARANTIA TECNICA,0,0
1066748,671894,"Estimados señores, por favor solicitamos ampliar el tiempo de entrega de las lámparas a 60 días.",0,0
1746258,1540835,"Estimados miembros de la comicion sera posible que se especifique sobre la imfraestructura fisica ymobiliario de oficina ya que en la cantidad esta 1 y en las especificacion esta para cada agencia eneste caso cuantas oficinas seria, ademas el valor unitaria por cada acción ya que no se especificay si la infraestructura fisica debe estar ubicada en cuaquier lugar de la ciudad Gracias",0,0
1311272,1142208,Por favor se solicita conocer la cantidad de usuarios a nivel nacional al sistema de impresión.,0,0
1823462,1309044,este proceso ya salió y la entidad llamo a negociar sera que se encuentra direccionado para elmismo oferente ? llamaran otra vez a negociar?,3,1
1110762,814114,"Van a entregar un espacio apropiado para guardar la maquinaria, puesto que los mismos tienen uncosto alto y si desean que la maquinaria este permanente es necesario que nos otorguen una bodega.Que dimensiones tienen la bodega? Y si van a otorgar un lugar limpio y apropiado para que losauxiliares? Dado que los empleados van a permanecer en las instalaciones constantemente.",0,0
1812799,1318236,va a quedar fuera de servicio la tubería mientras se realizan la ejecución del contrato?,0,0
1785475,867935,"Estimados se solicita aclarar rectificar las especificaciones tecnicas del item Reactivo paradeterminación de grupo sanguíneo, sistema ABO, anti AB, ya que segun lo detallado no corresponde.",0,0
1140240,855499,"Estimados, por favor subir los TDR del presente objeto de contratación. Gracias",0,0
785446,923205,"5 Como parte del servicio de mantenimiento que IBM puede prestar, se dispone de un completo stock departes y piezas a través del cual se puede cumplir con los niveles de servicio requeridos sin sernecesario que se disponga de equipos de contingencia. En virtud de lo anterior, solicitamos sesirvan no considerar la disponibilidad de equipos de contingencia, como un motivo dedescalificación dentro de este proceso.",0,0
