dataset,model,runtime_minutes,test_f1,test_conf_matrix,test_roc_curve,test_prc_curve,learning_curves_loss,learning_curves_f1,train_conf_matrix,val_conf_matrix,learning_curves_acc,learning_curves_precision,learning_curves_recall,test_acc,test_precision,test_recall,test_loss,val_acc,val_precision,val_recall,val_f1,val_loss,train_acc,train_precision,train_recall,train_f1,train_loss,Patience,freezed_layers,embedding,grid_runtime_minutes,num_combinations,val_roc_curve,val_prc_curve,train_roc_curve,train_prc_curve,best_params,TP,FN,FP,TN,recall_positive,precision_positive,f1_positive,recall_negative,precision_negative,f1_negative,test_macro_recall,test_macro_f1,test_weighted_recall,test_weighted_f1,ROC_area,data_augmentation,tamaño_dataset,balance
undersampled_118_118,bert,2.4812073071797687,0.5241528749465942,/home/froh/FinalProject/Matriz_Confusin__-_Test_bert_undersampled_118_118.jpg,/home/froh/FinalProject/Curva_ROC_-_Test_bert_undersampled_118_118.jpg,/home/froh/FinalProject/Curva_Precision-Recall_-_Test_bert_undersampled_118_118.jpg,/home/froh/FinalProject/learningcurve_bert_undersampled_118_118_train_loss_valid_loss.png,/home/froh/FinalProject/learningcurve_bert_undersampled_118_118_train_f1_valid_f1.png,/home/froh/FinalProject/Matriz_Confusin__-_Entrenamiento_bert_undersampled_118_118.jpg,/home/froh/FinalProject/Matriz_Confusin__-_Validacin_bert_undersampled_118_118.jpg,/home/froh/FinalProject/learningcurve_bert_undersampled_118_118_train_acc_valid_acc.png,/home/froh/FinalProject/learningcurve_bert_undersampled_118_118_train_precision_valid_precision.png,/home/froh/FinalProject/learningcurve_bert_undersampled_118_118_train_recall_valid_recall.png,0.7268339395523071,0.5386708974838257,0.7268339395523071,0.5394831299781799,0.8324275016784668,0.8515325784683228,0.8324275016784668,0.8278388381004333,0.6191136240959167,1.0,1.0,1.0,1.0,0.0051056942902505,10.0,0.0,,,,,,,,,18,10,182,780,0.6428571428571429,0.09,0.1578947368421052,0.8108108108108109,0.9873417721518988,0.8904109589041096,0.7268339768339769,0.5241528478731075,0.806060606060606,0.8696933283811439,0.83,01 undersampling,01. 117 - 117,01. undersampling
undersampled_118_118,roberta,1.5105539878209433,0.3853305876255035,/home/froh/FinalProject/Matriz_Confusin__-_Test_roberta_undersampled_118_118.jpg,/home/froh/FinalProject/Curva_ROC_-_Test_roberta_undersampled_118_118.jpg,/home/froh/FinalProject/Curva_Precision-Recall_-_Test_roberta_undersampled_118_118.jpg,/home/froh/FinalProject/learningcurve_roberta_undersampled_118_118_train_loss_valid_loss.png,/home/froh/FinalProject/learningcurve_roberta_undersampled_118_118_train_f1_valid_f1.png,/home/froh/FinalProject/Matriz_Confusin__-_Entrenamiento_roberta_undersampled_118_118.jpg,/home/froh/FinalProject/Matriz_Confusin__-_Validacin_roberta_undersampled_118_118.jpg,/home/froh/FinalProject/learningcurve_roberta_undersampled_118_118_train_acc_valid_acc.png,/home/froh/FinalProject/learningcurve_roberta_undersampled_118_118_train_precision_valid_precision.png,/home/froh/FinalProject/learningcurve_roberta_undersampled_118_118_train_recall_valid_recall.png,0.7179239988327026,0.523959219455719,0.7179239988327026,0.5884104371070862,0.7047101259231567,0.7164751291275024,0.7047101259231567,0.6987179517745972,0.5950217247009277,0.7963852882385254,0.8036803007125854,0.7963852882385254,0.7954754829406738,0.4705937802791595,10.0,0.0,,,,,,,,,26,2,474,488,0.9285714285714286,0.052,0.0984848484848484,0.5072765072765073,0.9959183673469388,0.6721763085399449,0.717923967923968,0.3853305785123967,0.5191919191919192,0.6559506914878815,0.77,01 undersampling,01. 117 - 117,01. undersampling
undersampled_118_118,rnn_lstm,0.7301245133082072,0.5345293879508972,/home/froh/FinalProject/Matriz_Confusin__-_Test_rnn_lstm_undersampled_118_118.jpg,/home/froh/FinalProject/Curva_ROC_-_Test_rnn_lstm_undersampled_118_118.jpg,/home/froh/FinalProject/Curva_Precision-Recall_-_Test_rnn_lstm_undersampled_118_118.jpg,/home/froh/FinalProject/learningcurve_rnn_lstm_undersampled_118_118_train_loss_valid_loss.png,/home/froh/FinalProject/learningcurve_rnn_lstm_undersampled_118_118_train_f1_valid_f1.png,/home/froh/FinalProject/Matriz_Confusin__-_Entrenamiento_rnn_lstm_undersampled_118_118.jpg,/home/froh/FinalProject/Matriz_Confusin__-_Validacin_rnn_lstm_undersampled_118_118.jpg,/home/froh/FinalProject/learningcurve_rnn_lstm_undersampled_118_118_train_acc_valid_acc.png,/home/froh/FinalProject/learningcurve_rnn_lstm_undersampled_118_118_train_precision_valid_precision.png,/home/froh/FinalProject/learningcurve_rnn_lstm_undersampled_118_118_train_recall_valid_recall.png,0.6361374855041504,0.5334576964378357,0.6361374855041504,0.3175012171268463,0.5978261232376099,0.6015037298202515,0.5978261232376099,0.5927952527999878,1.8465725183486936,1.0,1.0,1.0,1.0,0.0002988881897181,10.0,0.0,,,,,,,,,11,17,116,846,0.3928571428571428,0.0866141732283464,0.1419354838709677,0.8794178794178794,0.9803012746234068,0.927123287671233,0.6361375111375112,0.5345293857711003,0.8656565656565657,0.904915955846579,0.78,01 undersampling,01. 117 - 117,01. undersampling
undersampled_118_118,rnn_gru,0.7867018183072408,0.5219476819038391,/home/froh/FinalProject/Matriz_Confusin__-_Test_rnn_gru_undersampled_118_118.jpg,/home/froh/FinalProject/Curva_ROC_-_Test_rnn_gru_undersampled_118_118.jpg,/home/froh/FinalProject/Curva_Precision-Recall_-_Test_rnn_gru_undersampled_118_118.jpg,/home/froh/FinalProject/learningcurve_rnn_gru_undersampled_118_118_train_loss_valid_loss.png,/home/froh/FinalProject/learningcurve_rnn_gru_undersampled_118_118_train_f1_valid_f1.png,/home/froh/FinalProject/Matriz_Confusin__-_Entrenamiento_rnn_gru_undersampled_118_118.jpg,/home/froh/FinalProject/Matriz_Confusin__-_Validacin_rnn_gru_undersampled_118_118.jpg,/home/froh/FinalProject/learningcurve_rnn_gru_undersampled_118_118_train_acc_valid_acc.png,/home/froh/FinalProject/learningcurve_rnn_gru_undersampled_118_118_train_precision_valid_precision.png,/home/froh/FinalProject/learningcurve_rnn_gru_undersampled_118_118_train_recall_valid_recall.png,0.6541802883148193,0.5308083891868591,0.6541802883148193,0.5473288297653198,0.7228261232376099,0.7236363887786865,0.7228261232376099,0.7229025363922119,1.880138635635376,1.0,1.0,1.0,1.0,9.76272494881414e-05,10.0,0.0,,,,,,,,,13,15,150,812,0.4642857142857143,0.0797546012269938,0.1361256544502617,0.8440748440748441,0.9818621523579202,0.907769703745109,0.6541802791802792,0.5219476790976854,0.8333333333333334,0.8859454276034365,0.78,01 undersampling,01. 117 - 117,01. undersampling
balanced_total_sinonimos,bert,22.47964454491933,0.6593405604362488,/home/froh/FinalProject/Matriz_Confusin__-_Test_bert_balanced_total_sinonimos.jpg,/home/froh/FinalProject/Curva_ROC_-_Test_bert_balanced_total_sinonimos.jpg,/home/froh/FinalProject/Curva_Precision-Recall_-_Test_bert_balanced_total_sinonimos.jpg,/home/froh/FinalProject/learningcurve_bert_balanced_total_sinonimos_train_loss_valid_loss.png,/home/froh/FinalProject/learningcurve_bert_balanced_total_sinonimos_train_f1_valid_f1.png,/home/froh/FinalProject/Matriz_Confusin__-_Entrenamiento_bert_balanced_total_sinonimos.jpg,/home/froh/FinalProject/Matriz_Confusin__-_Validacin_bert_balanced_total_sinonimos.jpg,/home/froh/FinalProject/learningcurve_bert_balanced_total_sinonimos_train_acc_valid_acc.png,/home/froh/FinalProject/learningcurve_bert_balanced_total_sinonimos_train_precision_valid_precision.png,/home/froh/FinalProject/learningcurve_bert_balanced_total_sinonimos_train_recall_valid_recall.png,0.667656660079956,0.6519055366516113,0.667656660079956,0.1675602793693542,0.9965462684631348,0.9961058497428894,0.9965462684631348,0.9963212013244628,0.0179700311273336,1.0,1.0,1.0,1.0,0.0005148621276021,10.0,0.0,,,,,,,,,10,18,21,941,0.3571428571428571,0.3225806451612903,0.3389830508474576,0.9781704781704782,0.9812304483837332,0.9796980739198335,0.6676566676566676,0.6593405623836456,0.9606060606060606,0.9615768409440492,0.83,02 sinónimos,07. 3785 - 3879,03. balanced
balanced_total_sinonimos,roberta,25.34577267964681,0.6353246569633484,/home/froh/FinalProject/Matriz_Confusin__-_Test_roberta_balanced_total_sinonimos.jpg,/home/froh/FinalProject/Curva_ROC_-_Test_roberta_balanced_total_sinonimos.jpg,/home/froh/FinalProject/Curva_Precision-Recall_-_Test_roberta_balanced_total_sinonimos.jpg,/home/froh/FinalProject/learningcurve_roberta_balanced_total_sinonimos_train_loss_valid_loss.png,/home/froh/FinalProject/learningcurve_roberta_balanced_total_sinonimos_train_f1_valid_f1.png,/home/froh/FinalProject/Matriz_Confusin__-_Entrenamiento_roberta_balanced_total_sinonimos.jpg,/home/froh/FinalProject/Matriz_Confusin__-_Validacin_roberta_balanced_total_sinonimos.jpg,/home/froh/FinalProject/learningcurve_roberta_balanced_total_sinonimos_train_acc_valid_acc.png,/home/froh/FinalProject/learningcurve_roberta_balanced_total_sinonimos_train_precision_valid_precision.png,/home/froh/FinalProject/learningcurve_roberta_balanced_total_sinonimos_train_recall_valid_recall.png,0.6329818964004517,0.6377639770507812,0.6329818964004517,0.220792680978775,0.9867899417877196,0.9842767715454102,0.9867899417877196,0.9853193163871764,0.0598342679440975,1.0,1.0,1.0,1.0,0.0001846213272074,10.0,0.0,,,,,,,,,8,20,19,943,0.2857142857142857,0.2962962962962963,0.2909090909090909,0.9802494802494802,0.9792315680166148,0.9797402597402598,0.632981882981883,0.6353246753246753,0.9606060606060606,0.960258166076348,0.82,02 sinónimos,07. 3785 - 3879,03. balanced
balanced_total_sinonimos,rnn_lstm,1.3971730510393778,0.5870764851570129,/home/froh/FinalProject/Matriz_Confusin__-_Test_rnn_lstm_balanced_total_sinonimos.jpg,/home/froh/FinalProject/Curva_ROC_-_Test_rnn_lstm_balanced_total_sinonimos.jpg,/home/froh/FinalProject/Curva_Precision-Recall_-_Test_rnn_lstm_balanced_total_sinonimos.jpg,/home/froh/FinalProject/learningcurve_rnn_lstm_balanced_total_sinonimos_train_loss_valid_loss.png,/home/froh/FinalProject/learningcurve_rnn_lstm_balanced_total_sinonimos_train_f1_valid_f1.png,/home/froh/FinalProject/Matriz_Confusin__-_Entrenamiento_rnn_lstm_balanced_total_sinonimos.jpg,/home/froh/FinalProject/Matriz_Confusin__-_Validacin_rnn_lstm_balanced_total_sinonimos.jpg,/home/froh/FinalProject/learningcurve_rnn_lstm_balanced_total_sinonimos_train_acc_valid_acc.png,/home/froh/FinalProject/learningcurve_rnn_lstm_balanced_total_sinonimos_train_precision_valid_precision.png,/home/froh/FinalProject/learningcurve_rnn_lstm_balanced_total_sinonimos_train_recall_valid_recall.png,0.5530516505241394,0.8623225092887878,0.5530516505241394,0.2327311486005783,0.998678982257843,0.9983818531036376,0.998678982257843,0.998528242111206,0.0172678641974926,1.0,1.0,1.0,1.0,4.686707598011708e-06,10.0,0.0,,,,,,,,,3,25,1,961,0.1071428571428571,0.75,0.1875,0.998960498960499,0.9746450304259636,0.9866529774127312,0.5530516780516781,0.5870764887063655,0.9737373737373738,0.9640506709808558,0.85,02 sinónimos,07. 3785 - 3879,03. balanced
balanced_total_sinonimos,rnn_gru,1.332622528076172,0.5575895309448242,/home/froh/FinalProject/Matriz_Confusin__-_Test_rnn_gru_balanced_total_sinonimos.jpg,/home/froh/FinalProject/Curva_ROC_-_Test_rnn_gru_balanced_total_sinonimos.jpg,/home/froh/FinalProject/Curva_Precision-Recall_-_Test_rnn_gru_balanced_total_sinonimos.jpg,/home/froh/FinalProject/learningcurve_rnn_gru_balanced_total_sinonimos_train_loss_valid_loss.png,/home/froh/FinalProject/learningcurve_rnn_gru_balanced_total_sinonimos_train_f1_valid_f1.png,/home/froh/FinalProject/Matriz_Confusin__-_Entrenamiento_rnn_gru_balanced_total_sinonimos.jpg,/home/froh/FinalProject/Matriz_Confusin__-_Validacin_rnn_gru_balanced_total_sinonimos.jpg,/home/froh/FinalProject/learningcurve_rnn_gru_balanced_total_sinonimos_train_acc_valid_acc.png,/home/froh/FinalProject/learningcurve_rnn_gru_balanced_total_sinonimos_train_precision_valid_precision.png,/home/froh/FinalProject/learningcurve_rnn_gru_balanced_total_sinonimos_train_recall_valid_recall.png,0.5351945161819458,0.8201621174812317,0.5351945161819458,0.2322418540716171,0.9958857893943788,0.995303750038147,0.9958857893943788,0.9955860376358032,0.0199241116642951,1.0,1.0,1.0,1.0,4.209157850709744e-06,10.0,0.0,,,,,,,,,2,26,1,961,0.0714285714285714,0.6666666666666666,0.1290322580645161,0.998960498960499,0.9736575481256332,0.9861467419189328,0.5351945351945352,0.5575894999917245,0.9727272727272728,0.9619051201533534,0.8,02 sinónimos,07. 3785 - 3879,03. balanced
original_3886_118,bert,10.228984888394674,0.63511723279953,/home/froh/FinalProject/Matriz_Confusin__-_Test_bert_original_3886_118.jpg,/home/froh/FinalProject/Curva_ROC_-_Test_bert_original_3886_118.jpg,/home/froh/FinalProject/Curva_Precision-Recall_-_Test_bert_original_3886_118.jpg,/home/froh/FinalProject/learningcurve_bert_original_3886_118_train_loss_valid_loss.png,/home/froh/FinalProject/learningcurve_bert_original_3886_118_train_f1_valid_f1.png,/home/froh/FinalProject/Matriz_Confusin__-_Entrenamiento_bert_original_3886_118.jpg,/home/froh/FinalProject/Matriz_Confusin__-_Validacin_bert_original_3886_118.jpg,/home/froh/FinalProject/learningcurve_bert_original_3886_118_train_acc_valid_acc.png,/home/froh/FinalProject/learningcurve_bert_original_3886_118_train_precision_valid_precision.png,/home/froh/FinalProject/learningcurve_bert_original_3886_118_train_recall_valid_recall.png,0.6029848456382751,0.7030152082443237,0.6029848456382751,0.1208483800292015,0.5,0.4852752983570099,0.5,0.4925276041030884,0.2416862845420837,0.9943504929542542,0.9893084764480592,0.9943504929542542,0.9918156862258912,0.0036035284865647,10.0,0.0,,,,,,,,,6,22,8,954,0.2142857142857142,0.4285714285714285,0.2857142857142857,0.9916839916839916,0.9774590163934426,0.9845201238390092,0.6029848529848529,0.6351172047766476,0.9696969696969696,0.96475591831629,0.92,00 original data,00. 3785 - 117,00. original
original_3886_118,roberta,13.08721073071162,0.642783522605896,/home/froh/FinalProject/Matriz_Confusin__-_Test_roberta_original_3886_118.jpg,/home/froh/FinalProject/Curva_ROC_-_Test_roberta_original_3886_118.jpg,/home/froh/FinalProject/Curva_Precision-Recall_-_Test_roberta_original_3886_118.jpg,/home/froh/FinalProject/learningcurve_roberta_original_3886_118_train_loss_valid_loss.png,/home/froh/FinalProject/learningcurve_roberta_original_3886_118_train_f1_valid_f1.png,/home/froh/FinalProject/Matriz_Confusin__-_Entrenamiento_roberta_original_3886_118.jpg,/home/froh/FinalProject/Matriz_Confusin__-_Validacin_roberta_original_3886_118.jpg,/home/froh/FinalProject/learningcurve_roberta_original_3886_118_train_acc_valid_acc.png,/home/froh/FinalProject/learningcurve_roberta_original_3886_118_train_precision_valid_precision.png,/home/froh/FinalProject/learningcurve_roberta_original_3886_118_train_recall_valid_recall.png,0.604024350643158,0.738752543926239,0.604024350643158,0.1013976335525512,0.5836583375930786,0.7099165320396423,0.5836583375930786,0.6171568632125854,0.1584710627794265,0.9677547216415404,0.987899124622345,0.9677547216415404,0.9776005744934082,0.0142331719398498,10.0,0.0,,,,,,,,,6,22,6,956,0.2142857142857142,0.5,0.3,0.9937629937629938,0.9775051124744376,0.9855670103092784,0.6040243540243541,0.6427835051546391,0.9717171717171718,0.966177236280329,0.86,00 original data,00. 3785 - 117,00. original
